function_path,type,type_name
probe:curve25519-dalek/4.1.3/core_assumes/u32_from_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u32_to_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u64_from_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u64_to_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/write_bytes32_8_to_24(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/zeroize_bool(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/zeroize_bytes32(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/zeroize_limbs5(),5,external_assume
probe:curve25519-dalek/4.1.3/coset_lemmas/ristretto_lemmas/lemmas/lemma_edge_coset_contains_e4(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_affine_curve_implies_projective(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_affine_niels_affine_equals_edwards_affine(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_affine_to_extended_valid(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_completed_point_ratios(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_double_distributes(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_double_identity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_double_is_scalar_mul_2(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_add_canonical(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_add_commutative(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_add_four_way_swap(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_add_identity_left(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_add_identity_right(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_add_identity_right_canonical(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_affine_when_z_is_one(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_double_identity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_double_of_add(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_additive(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_canonical(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_composition(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_identity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_pow2_succ(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_signed_canonical(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_signed_composition(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_scalar_mul_succ(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_edwards_to_montgomery_correspondence(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_four_doublings_is_mul_16(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_affine_niels_is_identity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_affine_niels_valid(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_is_valid_extended(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_on_curve(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_projective_niels_is_identity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_projective_niels_valid(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_identity_projective_point_properties(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_neg_distributes_over_add(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_neg_of_signed_scalar_mul(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_negate_affine_niels_is_edwards_neg(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_negate_affine_niels_preserves_validity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_negate_projective_niels_is_edwards_neg(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_negate_projective_niels_preserves_validity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_negation_preserves_curve(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_negation_preserves_extended_validity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_projective_implies_affine_on_curve(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_projective_niels_affine_equals_edwards_affine(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_recover_xy_from_niels_encoding(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_scalar_mul_distributes_over_neg(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_unique_x_with_parity(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_valid_extended_point_affine_on_curve(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_x_zero_implies_y_squared_one(),3,lemma
probe:curve25519-dalek/4.1.3/curve_equation_lemmas/edwards_lemmas/lemmas/lemma_z_one_affine_implies_projective(),3,lemma
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&AffineNielsPoint#Neg<AffineNielsPoint>#neg(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&CompletedPoint#CompletedPoint<EdwardsPoint>#as_extended(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&CompletedPoint#CompletedPoint<ProjectivePoint>#as_projective(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&EdwardsPoint#Add<&AffineNielsPoint>#add(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&EdwardsPoint#Add<&ProjectiveNielsPoint>#add(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&EdwardsPoint#Sub<&AffineNielsPoint>#sub(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&EdwardsPoint#Sub<&ProjectiveNielsPoint>#sub(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&ProjectiveNielsPoint#Neg<ProjectiveNielsPoint>#neg(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&ProjectivePoint#ProjectivePoint<CompletedPoint>#double(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/&ProjectivePoint#ProjectivePoint<EdwardsPoint>#as_extended(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/AffineNielsPoint#ConditionallySelectable<&Self>#conditional_assign(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/AffineNielsPoint#ConditionallySelectable<&Self>#conditional_select(),2,uncalled_original
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/AffineNielsPoint#Default<AffineNielsPoint>#default(),2,uncalled_original
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/AffineNielsPoint#Identity<AffineNielsPoint>#identity(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/AffineNielsPoint#Zeroize#zeroize(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectiveNielsPoint#ConditionallySelectable<&Self>#conditional_assign(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectiveNielsPoint#ConditionallySelectable<&Self>#conditional_select(),2,uncalled_original
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectiveNielsPoint#Default<ProjectiveNielsPoint>#default(),2,uncalled_original
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectiveNielsPoint#Identity<ProjectiveNielsPoint>#identity(),1,internal_libsignal
